Created By Broughy1322,,"This sheet contains a variety of useful information about all vehicles in GTA 5, such as prices, numbers of seats, where they can be bought, etc. This does not focus on vehicle performance and is primarily for information.",,,,,,,,,,,,,,,,,,,
Class,Vehicle,Key Attributes,,,Performance Improvements,,,,Acquiring,,,Storing & Upgrading,,Race Availability,,,Added To GTA,,,Model IDs,Notes
Muscle,Ruiner ZZ-8,RWD,2,Imponte,✔,,✔,,SSASA,"1,320,000",2 Door Tab,Garage,LSC,✔,✔,✔,18/08,2022,Criminal Enterprises,ruiner4,
Muscle,Sabre Turbo,RWD,2,Declasse,✔,,,,Benny's,"15,000",Main Page,Garage,LSC,✔,,,17/09,2013,-,sabregt,
Muscle,Sabre Turbo Custom,RWD,2,Declasse,✔,,,,Upgrade,"505,000",Benny's Workshop,Garage,LSC,✔,✔,✔,19/04,2016,Lowriders: Custom Classics,sabregt2,Acquired by upgrading Sabre Turbo in Benny's
Muscle,Slamvan,RWD,2,Vapid,,,,,SSASA,"49,500",2 Door Tab,Garage,LSC,✔,✔,✔,18/12,2014,Festive Surprise 2014,slamvan,
Muscle,Slamvan (Arena),RWD,2,Vapid,,✔,,✔,Upgrade,"1,371,375",Arena Workshop,Garage,LSC & Property,,,✔,11/12,2018,Arena War,"slamvan4, slamvan5, slamvan6",Acquired by upgrading Slamvan in Arena Workshop. Nightmare version has spoiler & goes 2.4s quicker than listed lap time
Muscle,Slamvan Custom,RWD,2,Vapid,✔,,,,Upgrade,"464,500",Benny's Workshop,Garage,LSC,✔,✔,✔,15/03,2016,Lowriders: Custom Classics,slamvan3,Acquired by upgrading Slamvan in Benny's
Muscle,Stallion,RWD,2,Declasse,,,,,SSASA,"71,000",2 Door Tab,Garage,LSC,✔,✔,✔,18/11,2014,Enhanced Edition,stalion,
Muscle,Tahoma Coupe,RWD,2,Declasse,,,✔,,SSASA,"950,000",2 Door Tab,Garage,LSC,✔,✔,✔,16/12,2022,Los Santos Drug Wars,tahoma,
Muscle,Tampa,RWD,2,Declasse,✔,,,,SSASA,"375,000",2 Door Tab,Garage,LSC,✔,,,23/12,2015,Festive Surprise 2015,tampa,
Muscle,Tampa GT,RWD,2,Declasse,✔,,✔,,SSASA,"1,311,000",2 Door Tab,Garage,LSC,✔,✔,✔,17/06,2025,Money Fronts,tampa4,
Muscle,Tampa GT (HSW),RWD,2,Declasse,✔,,✔,,Upgrade,"2,711,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,17/06,2025,Money Fronts,tampa4_hsw,
Muscle,Tulip,RWD,4,Declasse,✔,✔,,,SSASA,"718,000",2 July 2026,Garage,LSC,✔,✔,✔,15/01,2019,Arena War,tulip,
Muscle,Tulip M-100,RWD,2,Declasse,DF=1.1,,,,SSASA,"894,800",2 Door Tab,Garage,LSC,✔,✔,✔,13/12,2022,Los Santos Drug Wars,tulip2,"Has ""downforce"" handling line by default but a non-stock spoiler is still needed"
Muscle,Vamos,RWD,2,Declasse,✔,,,,SSASA,"596,000",25 June 2026,Garage,LSC,✔,✔,✔,14/02,2019,Arena War,vamos,
Muscle,Vigero,RWD,2,Declasse,✔,,,,SSASA,"21,000",Traffic Spawn,Garage,LSC,✔,,,17/09,2013,-,vigero,
Muscle,Vigero ZX,RWD,2,Declasse,DF=2,,,,SSASA,"1,947,000",2 Door Tab,Garage,LSC,✔,✔,✔,01/09,2022,Criminal Enterprises,vigero2,"Has ""downforce"" handling line by default but a non-stock spoiler is still needed"
Muscle,Vigero ZX (HSW),RWD,2,Declasse,DF=2,,,,Upgrade,"2,497,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,01/09,2022,Criminal Enterprises,vigero2_hsw,"Acquired by upgrading Vigero ZX at Hao's Special Works. Has ""downforce"" handling line by default but a non-stock spoiler is still needed"
Muscle,Vigero ZX Convertible,RWD,2,Declasse,DF=2,,,,SSASA,"2,295,000",2 Door Tab,Garage,LSC,✔,✔,✔,12/12,2023,Chop Shop,vigero3,"Has ""downforce"" handling line by default but a non-stock spoiler is still needed"
Muscle,Vigero ZX Convertible (HSW),RWD,2,Declasse,DF=2,,,,Upgrade,"2,845,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,12/12,2023,Chop Shop,vigero3_hsw,"Acquired by upgrading Vigero ZX Convertible at Hao's Special Works. Has ""downforce"" handling line by default but a non-stock spoiler is still needed"
Muscle,Virgo,RWD,2,Albany,,,,,L.Motorsport,"195,000",2 Door Tab,Garage,LSC,✔,✔,✔,10/06,2015,Ill-Gotten Gains Part 1,virgo,
Muscle,Virgo Classic,RWD,2,Dundreary,,,,,Benny's,"165,000",Main Page,Garage,LSC,✔,✔,✔,15/03,2016,Lowriders: Custom Classics,virgo3,
Muscle,Virgo Classic Custom,RWD,2,Dundreary,,,,,Upgrade,"405,000",Benny's Workshop,Garage,LSC,✔,✔,✔,15/03,2016,Lowriders: Custom Classics,virgo2,Acquired by upgrading Virgo Classic in Benny's
Muscle,Voodoo,RWD,2,Declasse,,,,,Benny's,"5,500",Main Page,Garage,LSC,✔,✔,✔,17/09,2013,-,voodoo2,
Muscle,Voodoo Custom,RWD,2,Declasse,,,,,Upgrade,"425,500",Benny's Workshop,Garage,LSC,✔,✔,✔,20/10,2015,Lowriders,voodoo,Acquired by upgrading Voodoo in Benny's
Muscle,Weaponized Tampa,AWD,2,Declasse,,,,,Warstock,"2,108,050",Main Page,Garage,MOC,,✔,✔,13/06,2017,Gunrunning,tampa3,
Muscle,Weevil Custom,RWD,2,BF,✔,,✔,,Upgrade,"1,850,000",Benny's Workshop,Garage,LSC,✔,✔,✔,27/10,2022,Criminal Enterprises,weevil2,Acquired by upgrading Weevil in Benny's
Muscle,Yosemite,RWD,2,Declasse,✔,,,,SSASA,"485,000",2 Door Tab,Garage,LSC,✔,✔,✔,12/12,2017,Doomsday Heist,yosemite,
Off-Road,Bifta,RWD,2,BF,✔,,,,SSASA,"75,000",11 June 2026,Garage,LSC,✔,✔,✔,19/11,2013,Beach Bum,bifta,
Off-Road,Blazer,AWD,1,Nagasaki,,,,,SSASA,"8,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,17/09,2013,-,blazer,
Off-Road,Blazer Aqua,AWD,1,Nagasaki,,,,,Warstock,"953,360",Main Page,Warehouse,LSC,,✔,✔,13/12,2016,Import/Export,blazer5,
Off-Road,Blazer Lifeguard,AWD,1,Nagasaki,,,,,Warstock,"62,000",Special Spawn,Garage & Clubhouse,LSC,✔,,,17/09,2013,-,blazer2,
Off-Road,Bodhi,AWD,4,Canis,,,,,SSASA,"25,000",Off-Road Tab,Garage,LSC,✔,✔,✔,17/09,2013,-,bodhi2,
Off-Road,Boor,AWD,2,Karin,,,✔,,SSASA,"1,280,000",2 Door Tab,Garage,LSC,✔,✔,✔,13/04,2023,Los Santos Drug Wars,boor,
Off-Road,Brawler,AWD,2,Coil,,,,,L.Motorsport,"715,000",2 Door Tab,Garage,LSC,✔,✔,✔,08/07,2015,Ill-Gotten Gains Part 2,brawler,
Off-Road,Bruiser,RWD,4,Benefactor,✔,,,✔,Upgrade,"1,809,000",Arena Workshop,Garage,LSC & Property,,,✔,11/12,2018,Arena War,"bruiser, bruiser2, bruiser3",Acquired by upgrading Glendale in Arena Workshop. Spare wheel modification adds traction like a spoiler
Off-Road,Brutus,AWD,2,Declasse,,,,✔,ArenaWar,"2,666,650",Arena Ready Tab,Garage,LSC & Property,,,✔,11/12,2018,Arena War,"brutus, brutus2, brutus3",
Off-Road,Caracara,AWD,5,Vapid,,,,,Warstock,"1,775,000",Main Page,Garage,LSC & MOC,,✔,✔,03/04,2018,SSA Super Sport Series,caracara,
Off-Road,Caracara 4x4,AWD,4,Vapid,✔,,,,SSASA,"875,000",Off-Road Tab,Garage,LSC,✔,✔,✔,23/07,2019,Diamond Casino & Resort,caracara2,Rack modification adds traction like a spoiler
Off-Road,Desert Raid,AWD,2,Vapid,,,,,SSASA,"695,000",Off-Road Tab,Garage,LSC,✔,✔,✔,12/07,2016,Cunning Stunts,trophytruck2,
Off-Road,Draugur,AWD,4,Declasse,✔,,✔,,SSASA,"1,870,000",Off-Road Tab,Garage,LSC,✔,✔,✔,11/08,2022,Criminal Enterprises,draugur,
Off-Road,Dubsta 6x6,AWD,6,Benefactor,,✔,,,Warstock,"249,000",Main Page,Garage,LSC,✔,✔,✔,17/06,2014,I'm Not A Hipster,dubsta3,
Off-Road,Dune Buggy,RWD,2,BF,,,,,SSASA,"20,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,dune,
Off-Road,Dune FAV,RWD,2,BF,,,,,Warstock,"1,130,500",Main Page,Garage,MOC,,✔,✔,13/06,2017,Gunrunning,dune3,
Off-Road,Duneloader,RWD,2,Bravado,,,,,Traffic,0,Traffic Spawn,Garage,LSC,✔,,,17/09,2013,-,dloader,
Off-Road,Everon,AWD,4,Karin,✔,,,,SSASA,"1,475,000",Luxury Tab,Garage,LSC,✔,✔,✔,12/12,2019,Diamond Casino Heist,everon,
Off-Road,Firebolt ASP,RWD,2,Vapid,✔,,✔,,SSASA,"1,894,500",2 Door Tab,Garage,LSC,✔,✔,✔,19/12,2024,Agents Of Sabotage,firebolt,
Off-Road,Firebolt ASP (HSW),RWD,2,Vapid,✔,,✔,,Upgrade,"3,394,500",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,19/12,2024,Agents Of Sabotage,firebolt_hsw,
Off-Road,Freecrawler,AWD,4,Canis,,,,,L.Motorsport,"597,000",4 Door Tab,Garage,LSC,✔,✔,✔,04/09,2018,After Hours,freecrawler,
Off-Road,Hellion,AWD,2,Annis,✔,,,,SSASA,"835,000",Off-Road Tab,Garage,LSC,✔,✔,✔,03/10,2019,Diamond Casino & Resort,hellion,Window plate modification adds traction like a spoiler
Off-Road,Hot Rod Blazer,AWD,1,Nagasaki,,,,,SSASA,"69,000",19 March 2026,Garage & Clubhouse,LSC,✔,,,17/09,2013,-,blazer3,
Off-Road,Injection,RWD,2,BF,,,,,SSASA,"16,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,bfinjection,
Off-Road,Insurgent,AWD,6,HVY,,✔,,,Warstock,"897,750",Main Page,Garage,LSC,✔,✔,✔,10/03,2015,Heists,insurgent2,
Off-Road,Insurgent Pick-Up,AWD,9,HVY,,✔,,,Warstock,"1,795,500",Main Page,Pegasus,-,,✔,✔,10/03,2015,Heists,insurgent,
Off-Road,Insurgent Pick-Up Custom,AWD,9,HVY,,✔,,,Upgrade,"1,997,500",MOC Workshop,Garage,MOC,,,,01/08,2017,Gunrunning,insurgent3,Acquired by upgrading Insurgent Pick-Up in MOC
Off-Road,Kalahari,AWD,2,Canis,,,,,SSASA,"40,000",25 June 2026,Garage,LSC,✔,✔,✔,19/11,2013,Beach Bum,kalahari,
Off-Road,Kamacho,AWD,4,Canis,✔,,,,SSASA,"345,000",Off-Road Tab,Garage,LSC,✔,✔,✔,06/02,2018,Doomsday Heist,kamacho,Roll Cage modification adds traction like a spoiler
Off-Road,Liberator,AWD,2,Vapid,,,,,Warstock,"742,014",10 July 2025,Pegasus,-,✔,✔,✔,01/07,2014,Independence Day,monster,
Off-Road,Marshall,AWD,2,Cheval,,,,,Warstock,"500,000",Main Page,Pegasus,-,✔,✔,✔,18/11,2014,Enhanced Edition,marshall,
Off-Road,Menacer,AWD,5,HVY,,✔,,,Warstock,"1,775,000",Main Page,Garage,MOC,✔,✔,✔,28/08,2018,After Hours,menacer,
Off-Road,Mesa (Merryweather),AWD,4,Canis,,,,,Warstock,"87,000",Main Page,Garage,LSC,✔,✔,✔,17/09,2013,-,mesa3,
Off-Road,MonstroCiti,AWD,2,Maibatsu,DF=1.5,,✔,,SSASA,"1,485,000",2 Door Tab,Garage,LSC & Property,✔,✔,✔,13/06,2023,San Andreas Mercenaries,monstrociti,"Has ""downforce"" handling line by default but a non-stock spoiler is still needed"
Off-Road,MonstroCiti (HSW),AWD,2,Maibatsu,DF=1.5,,✔,,Upgrade,"2,594,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,13/06,2023,San Andreas Mercenaries,monstrociti_hsw,"Acquired by upgrading MonstroCiti at Hao's Special Works. Has ""downforce"" handling line by default but a non-stock spoiler is still needed. Window panel modification adds traction like a spoiler"
Off-Road,Nightshark,AWD,4,HVY,,✔,,,Warstock,"1,245,000",Main Page,Garage,MOC,✔,✔,✔,08/08,2017,Gunrunning,nightshark,
Off-Road,Outlaw,AWD,2,Nagasaki,,,,,SSASA,"1,268,000",Off-Road Tab,Garage,LSC,✔,✔,✔,23/01,2020,Diamond Casino Heist,outlaw,
Off-Road,Patriot Mil-Spec,AWD,4,Mammoth,✔,,✔,,SSASA,"1,710,000",Off-Road Tab,Garage,LSC & Property,✔,✔,✔,30/12,2021,The Contract,patriot3,Tailgate option adds traction like a spoiler
Off-Road,Ramp Buggy,RWD,2,BF,DF=2,✔,,,Warstock,"3,192,000",Main Page,Warehouse,LSC,,✔,✔,13/12,2016,Import/Export,dune5,"Has ""downforce"" handling line by default"
Off-Road,Ramp Buggy (Spoiler),RWD,2,BF,DF=2,✔,,,-,-,-,-,-,,,,13/12,2016,Import/Export,dune4,"Has ""downforce"" handling line by default. Only available in missions."
Off-Road,Rancher XL,AWD,4,Declasse,,,,,SSASA,"9,000",Traffic Spawn,Garage,LSC,✔,,,17/09,2013,-,"rancherxl, rancherxl2",
Off-Road,Ratel,RWD,2,Vapid,✔,,,,SSASA,"1,873,000",2 Door Tab,Garage,LSC,✔,✔,✔,13/06,2023,San Andreas Mercenaries,ratel,
Off-Road,RC Bandito,AWD,0,-,,,,,SSASA,"1,590,000",Special Tab,Arena,-,,,,29/01,2019,Arena War,rcbandito,
Off-Road,Rebel,AWD,2,Karin,,,,,SSASA,"22,000",Traffic Spawn,Garage,LSC,✔,,,17/09,2013,-,rebel2,
Off-Road,Riata,AWD,2,Vapid,,,,,SSASA,"380,000",18 June 2026,Garage,LSC,✔,✔,✔,12/12,2017,Doomsday Heist,riata,
Off-Road,Rusty Rebel,AWD,2,Karin,,,,,SSASA,"3,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,rebel,
Off-Road,Sandking SWB,AWD,2,Vapid,,✔,,,SSASA,"38,000",Traffic Spawn,Garage,LSC,✔,,,17/09,2013,-,sandking2,
Off-Road,Sandking XL,AWD,4,Vapid,,✔,,,SSASA,"45,000",Off-Road Tab,Garage,LSC,✔,✔,✔,17/09,2013,-,sandking,
Off-Road,Sasquatch,AWD,2,Bravado,,✔,,✔,Upgrade,"1,568,375",Arena Workshop,Garage,LSC & Property,,,✔,11/12,2018,Arena War,"monster3, monster4, monster5",Acquired by upgrading Rat-Truck in Arena Workshop
Off-Road,Space Docker,RWD,2,BF,,,,,Unlock,0,Arena Levels,Pegasus,-,,,,17/09,2013,-,dune2,Unlocked at Arena Sponsorship Tier 500
Off-Road,Street Blazer,AWD,1,Nagasaki,✔,✔,,,SSASA,"81,000",Motorcycles Tab,Garage & Clubhouse,LSC,✔,✔,✔,04/10,2016,Bikers,blazer4,
Off-Road,Technical,AWD,3,Karin,,,,,Warstock,"1,263,500",Main Page,Pegasus,-,,✔,✔,10/03,2015,Heists,technical,
Off-Road,Technical Aqua,AWD,3,Karin,,,,,Warstock,"1,489,600",Main Page,Warehouse,LSC,,✔,✔,13/12,2016,Import/Export,technical2,
Off-Road,Technical Custom,AWD,3,Karin,,,,,Upgrade,"1,406,000",MOC Workshop,Garage,MOC,,,,18/07,2017,Gunrunning,technical3,Acquired by upgrading Technical in MOC
Off-Road,Terminus,AWD,4,Canis,,,,,SSASA,"1,877,500",4 Door Tab,Garage,LSC & Property,✔,✔,✔,07/03,2024,Chop Shop,terminus,
Off-Road,Trophy Truck,AWD,2,Vapid,,,,,SSASA,"550,000",Off-Road Tab,Garage,LSC,✔,✔,✔,12/07,2016,Cunning Stunts,trophytruck,
Off-Road,Vagrant,RWD,2,Maxwell,,,,,SSASA,"1,228,400",Off-Road Tab,Garage,LSC,✔,✔,✔,12/12,2019,Diamond Casino Heist,vagrant,
Off-Road,Verus,AWD,2,Dinka,✔,,,,Warstock,"192,000",14 May 2026,Garage,LSC,✔,✔,✔,18/02,2021,Cayo Perico Heist,verus,Saddle bags modification adds traction like a spoiler
Off-Road,Walton L35,AWD,2,Declasse,,,✔,,SSASA,"1,670,000",2 Door Tab,Garage,LSC,✔,✔,✔,13/06,2023,San Andreas Mercenaries,l35,
Off-Road,Walton L35 Stock,AWD,2,Declasse,,,✔,,SSASA,"1,303,700",2 Door Tab,Garage,LSC,✔,✔,✔,26/06,2025,Money Fronts,l352,
Off-Road,Winky,AWD,3,Vapid,,,✔,,Warstock,"1,100,000",Main Page,Garage,LSC,✔,✔,✔,15/12,2020,Cayo Perico Heist,winky,
Off-Road,Yosemite 1500,AWD,2,Declasse,✔,,,,SSASA,"1,205,000",2 Door Tab,Garage,LSC,✔,✔,✔,25/06,2024,Bottom Dollar Bounties,yosemite1500,
Off-Road,Yosemite Rancher,AWD,2,Declasse,,,,,Upgrade,"700,000",Benny's Workshop,Garage,LSC,✔,,,11/08,2020,Los Santos Summer Special,yosemite3,Acquired by upgrading Yosemite in Benny's
Off-Road,Zhaba,AWD,4,RUNE,,,,,Warstock,"1,900,000",Main Page,Garage,LSC,✔,✔,✔,02/01,2020,Diamond Casino Heist,zhaba,
Open Wheel,BR8,RWD,1,Benefactor,DF=5.25,,,✔,L.Motorsport,"3,400,000",Special Tab,Garage,LSC,✔,✔,✔,11/08,2020,Los Santos Summer Special,openwheel1,Front and rear wing options increase or decrease downforce to varying degrees
Open Wheel,DR1,RWD,1,Declasse,DF=4,,,✔,L.Motorsport,"2,997,000",Special Tab,Garage,LSC,✔,✔,✔,11/08,2020,Los Santos Summer Special,openwheel2,Front and rear wing options increase or decrease downforce to varying degrees
Open Wheel,PR4,RWD,1,Progen,DF=5,,,✔,L.Motorsport,"3,515,000",Special Tab,Garage,LSC,✔,✔,✔,20/02,2020,Diamond Casino Heist,formula,Front and rear wing options increase or decrease downforce to varying degrees
Open Wheel,R88,RWD,1,Ocelot,DF=4.75,,,✔,L.Motorsport,"3,115,000",Special Tab,Garage,LSC,✔,✔,✔,27/02,2020,Diamond Casino Heist,formula2,Front and rear wing options increase or decrease downforce to varying degrees
Planes,Alpha-Z1,FWD,1,Buckingham,,,,,Elitas,"2,121,350",Main Page,Hangar,Property,✔,✔,✔,29/08,2017,Smuggler's Run,alphaz1,
Planes,Avenger,RWD,30,Mammoth,,,,,Warstock,"4,787,500",Main Page,Facility,Property,,✔,✔,12/12,2017,Doomsday Heist,"avenger, avenger3",
Planes,B-11 Strikeforce,FWD,1,-,,,,,Warstock,"3,800,000",Main Page,Hangar,Property,✔,✔,✔,07/08,2018,After Hours,strikeforce,
Planes,Besra,FWD,1,Western,,,,,Elitas,"1,150,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,19/08,2014,San Andreas Flight School,besra,
Planes,Blimp (Atomic),RWD,1,-,,,,,-,-,-,-,-,,,,17/09,2013,-,blimp,Only available in single player
Planes,Blimp (Nightclub),RWD,4,-,,,,,Elitas,"1,190,350",Main Page,Pegasus,-,,,,31/07,2018,After Hours,blimp3,
Planes,Blimp (Xero),RWD,1,-,,,,,-,-,-,-,-,,,,18/11,2014,Enhanced Edition,blimp2,Only available in single player
Planes,Cargoplane,RWD,1,-,,,,,-,-,-,-,-,,,,17/09,2013,-,"cargoplane, cargoplane2",Only available in single player
Planes,Cuban 800,RWD,2,Western,,,,,Elitas,"240,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,17/09,2013,-,cuban800,
Planes,Dodo,RWD,4,Mammoth,,,,,Elitas,"500,000",Main Page,Hangar & Pegasus,-,,✔,✔,18/11,2014,Enhanced Edition,dodo,
Planes,Duster,RWD,2,Western,,,,,Elitas,"275,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,17/09,2013,-,duster,
Planes,Duster 300-H,RWD,1,Western,,,,,Elitas,"1,020,000",Main Page,Hangar,Property,✔,✔,✔,04/03,2025,Agents Of Sabotage,duster2,
Planes,F-160 Raiju,RWD,1,Mammoth,,,,,Warstock,"6,855,000",Main Page,Hangar,Property,✔,✔,✔,13/06,2023,San Andreas Mercenaries,raiju,
Planes,Howard NX-25,FWD,1,Buckingham,,,,,Elitas,"1,296,750",Main Page,Hangar,Property,✔,✔,✔,26/09,2017,Smuggler's Run,howard,
Planes,Hydra,RWD,1,Mammoth,,,,,Warstock,"3,990,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,10/03,2015,Heists,hydra,
Planes,Jet,RWD,1,-,,,,,-,-,-,-,-,,,,17/09,2013,-,jet,Only available in single player
Planes,LF-22 Starling,FWD,1,-,,,,,Warstock,"3,657,500",Main Page,Hangar,Property,,✔,✔,29/08,2017,Smuggler's Run,starling,
Planes,Luxor,FWD,10,Buckingham,,,,,Elitas,"1,625,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,17/09,2013,-,luxor,
Planes,Luxor Deluxe,FWD,8,Buckingham,,,,,Elitas,"10,000,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,10/06,2015,Ill-Gotten Gains Part 1,luxor2,
Planes,Mallard,FWD,1,Western,,,,,Elitas,"250,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,17/09,2013,-,stunt,
Planes,Mammatus,RWD,4,Jobuilt,,,,,Elitas,"300,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,17/09,2013,-,mammatus,
Planes,Miljet,FWD,16,Buckingham,,,,,Elitas,"1,700,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,19/08,2014,San Andreas Flight School,miljet,
Planes,Mogul,RWD,3,Mammoth,,,,,Warstock,"2,275,300",Main Page,Hangar,Property,✔,✔,✔,03/10,2017,Smuggler's Run,mogul,
Planes,Nimbus,AWD,8,Buckingham,,,,,Elitas,"1,900,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,07/06,2016,Finance and Felony,nimbus,
Planes,P-45 Nokota,FWD,1,-,,,,,Warstock,"2,653,350",Main Page,Hangar,Property,✔,✔,✔,07/11,2017,Smuggler's Run,nokota,
Planes,P-996 Lazer,FWD,1,Jobuilt,,,,,Warstock,"6,500,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,17/09,2013,-,lazer,
Planes,Pyro,FWD,2,Buckingham,,,,,Warstock,"4,455,500",Main Page,Hangar,Property,✔,✔,✔,10/10,2017,Smuggler's Run,pyro,
Planes,RM-10 Bombushka,RWD,6,-,,,,,Warstock,"4,750,000",Main Page,Hangar,Property,,✔,,19/09,2017,Smuggler's Run,bombushka,
Planes,RO-86 Alkonost,RWD,2,-,,,,,Warstock,"4,350,000",Main Page,Hangar,Property,,,,15/12,2020,Cayo Perico Heist,alkonost,
Planes,Rogue,FWD,2,Western,,,,,Warstock,"1,596,000",Main Page,Hangar,Property,✔,✔,✔,29/08,2017,Smuggler's Run,rogue,
Planes,Seabreeze,FWD,2,Western,,,,,Elitas,"1,130,500",Main Page,Hangar,Property,✔,✔,✔,28/10,2017,Smuggler's Run,seabreeze,
Planes,Shamal,FWD,10,Buckingham,,,,,Elitas,"1,150,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,17/09,2013,-,shamal,
Planes,Streamer216,RWD,4,Mammoth,,,,,Warstock,"2,238,000",Main Page,Hangar,Property,✔,✔,✔,13/06,2023,San Andreas Mercenaries,streamer216,
Planes,Titan,RWD,10,Eberhard,,,,,Elitas,"2,000,000",Main Page,Hangar & Pegasus,-,,✔,,17/09,2013,-,titan,
Planes,Titan 250 D,RWD,16,Eberhard,,,,,Warstock,"4,870,000",Main Page,Hangar,Property,,✔,,04/03,2025,Agents Of Sabotage,titan2,
Planes,Tula,RWD,5,Mammoth,,,,,Warstock,"4,100,000",Main Page,Hangar,Property,✔,✔,✔,29/08,2017,Smuggler's Run,tula,
Planes,Ultralight,FWD,1,Nagasaki,,,,,Elitas,"665,000",Main Page,Hangar,Property,✔,✔,✔,29/08,2017,Smuggler's Run,microlight,
Planes,V-65 Molotok,FWD,1,-,,,,,Warstock,"4,788,000",Main Page,Hangar,Property,✔,✔,✔,29/08,2017,Smuggler's Run,molotok,
Planes,Velum,RWD,5,Jobuilt,,,,,Elitas,"450,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,17/09,2013,-,"velum, velum2",
Planes,Vestra,RWD,2,Buckingham,,,,,Elitas,"950,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,04/03,2014,Business,vestra,
Planes,Volatol,RWD,4,-,,,,,Warstock,"3,724,000",Main Page,Hangar,Property,,✔,,12/12,2017,Doomsday Heist,volatol,
Sedans,Asea,FWD,4,Declasse,✔,,,,SSASA,"12,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,"asea, asea2",
Sedans,Asterope,RWD,4,Karin,,,,,SSASA,"26,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,asterope,
Sedans,Asterope GZ,RWD,4,Karin,✔,,,,SSASA,"459,000",4 Door Tab,Garage,LSC,✔,✔,✔,12/12,2023,Chop Shop,asterope2,
Sedans,Chavos V6,RWD,4,Dinka,✔,,✔,,SSASA,"1,420,000",2 Door Tab,Garage,LSC,✔,✔,✔,10/12,2024,Agents Of Sabotage,chavosv6,
Sedans,Cinquemila,RWD,4,Lampadati,✔,,✔,,L.Motorsport,"1,144,000",4 Door Tab,Garage,LSC,✔,✔,✔,15/12,2021,The Contract,cinquemila,
Sedans,Cognoscenti,RWD,4,Enus,,,,,L.Motorsport,"254,000",4 Door Tab,Garage,LSC,✔,✔,✔,15/12,2015,Executives & Other Criminals,cognoscenti,
Sedans,Cognoscenti (Armored),RWD,4,Enus,,,,,L.Motorsport,"558,000",4 Door Tab,Garage,LSC,✔,✔,✔,15/12,2015,Executives & Other Criminals,cognoscenti2,
Sedans,Cognoscenti 55,RWD,4,Enus,,,,,L.Motorsport,"154,000",4 Door Tab,Garage,LSC,✔,✔,✔,15/12,2015,Executives & Other Criminals,cog55,
Sedans,Cognoscenti 55 (Armored),RWD,4,Enus,,,,,L.Motorsport,"396,000",4 Door Tab,Garage,LSC,✔,✔,✔,15/12,2015,Executives & Other Criminals,cog552,
Sedans,Deity,RWD,4,Enus,✔,,✔,,L.Motorsport,"1,845,000",4 Door Tab,Garage,LSC & Property,✔,✔,✔,15/12,2021,The Contract,deity,
Sedans,Emperor,RWD,4,Albany,,,,,Traffic,0,Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,"emperor, emperor3",
Sedans,Emperor Beater,RWD,4,Albany,,,,,Traffic,0,Traffic Spawn,Garage,LSC,✔,,,17/09,2013,-,emperor2,
Sedans,Fugitive,RWD,4,Cheval,,,,,SSASA,"24,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,fugitive,
Sedans,Glendale,RWD,4,Benefactor,✔,,,,SSASA,"200,000",4 Door Tab,Garage,LSC,✔,✔,✔,17/06,2014,I'm Not A Hipster,glendale,Trunk options add traction like a spoiler
Sedans,Glendale Custom,RWD,4,Benefactor,✔,,,,Upgrade,"520,000",Benny's Workshop,Garage,LSC,✔,✔,✔,11/08,2020,Los Santos Summer Special,glendale2,Acquired by upgrading Glendale in Benny's. Trunk Door modifications add traction like a spoiler
Sedans,Hardy,RWD,4,Annis,✔,,✔,,SSASA,"1,380,000",4 Door Tab,Garage,LSC,✔,✔,✔,17/06,2025,Money Fronts,hardy,
Sedans,Ingot,FWD,4,Vulcar,,,,,SSASA,"9,000",Traffic Spawn,Garage,LSC,✔,,,17/09,2013,-,ingot,
Sedans,Intruder,RWD,4,Karin,✔,,,,SSASA,"16,000",Traffic Spawn,Garage,LSC,✔,,,17/09,2013,-,intruder,
